"","x"
"1",1e-05
"2",1.14391488750563e-05
"3",1.28012342663861e-05
"4",1.42287939646674e-05
"5",1.57791089123095e-05
"6",1.74815664646977e-05
"7",1.93570762037912e-05
"8",2.14246970261834e-05
"9",2.37039944576497e-05
"10",2.62159265485281e-05
"11",2.89832509788405e-05
"12",3.20307785092994e-05
"13",3.53855835793269e-05
"14",3.90772102704749e-05
"15",4.31378872908541e-05
"16",4.76027573468692e-05
"17",5.25101234965435e-05
"18",5.79017141782298e-05
"19",6.382296834319e-05
"20",7.0323342070744e-05
"21",7.74566380676435e-05
"22",8.52813595000846e-05
"23",9.38610896601349e-05
"24",0.000103264899021788
"25",0.00011356778129234
"26",0.000124851120110325
"27",0.000137203188080033
"28",0.000150719679862774
"29",0.000165504281064335
"30",0.000181669274663965
"31",0.000199336185841252
"32",0.000218583644416714
"33",0.000239483843750826
"34",0.000262159043337764
"35",0.000286736954275216
"36",0.000313351587651673
"37",0.000342143597528513
"38",0.000373260434707805
"39",0.000406856413087976
"40",0.0004430927203122
"41",0.000482137380406089
"42",0.000524165167768825
"43",0.000569357468892174
"44",0.000617902087023775
"45",0.000669992984473654
"46",0.000725829956984517
"47",0.000785618234414987
"48",0.000849568001880727
"49",0.000917893835453548
"50",0.000990814046536722
"51",0.00106854992912379
"52",0.00115132490431834
"53",0.00123936355675423
"54",0.00133289055792208
"55",0.00143212947189005
"56",0.00153730143951808
"57",0.00164862373801799
"58",0.00176630821361802
"59",0.00189055958616392
"60",0.00202157362573759
"61",0.00215953520281079
"62",0.00230461621508491
"63",0.00245747446257592
"64",0.00261886077534642
"65",0.00278908648817492
"66",0.00296846848628981
"67",0.0031573219018046
"68",0.00335595612127553
"69",0.00356467176740276
"70",0.0037837578785613
"71",0.00401348901215908
"72",0.00425412217538613
"73",0.00450589354983305
"74",0.00476901500689923
"75",0.00504367040545626
"76",0.0053300116947702
"77",0.00562815482820545
"78",0.00593817551125868
"79",0.00626010480841347
"80",0.00659392464037321
"81",0.00693956320904618
"82",0.00729689039427037
"83",0.00766571317266603
"84",0.00804577111269443
"85",0.00843673201766455
"86",0.00883818778490624
"87",0.00924965055533771
"88",0.00967054923751615
"89",0.0101002264931208
"90",0.0105379362743702
"91",0.0109828420059222
"92",0.0114340154939419
"93",0.0118922534945172
"94",0.0123584859712094
"95",0.0128318773408919
"96",0.0133115244931142
"97",0.0137964426597793
"98",0.0142855606812745
"99",0.0147777202135982
"100",0.0152716769802749
"101",0.0157661034431078
"102",0.0162595926996691
"103",0.0167506635676673
"104",0.0172377668547267
"105",0.0177192928135997
"106",0.0181935797694439
"107",0.0186589238859199
"108",0.0191135900139434
"109",0.0195558235423292
"110",0.0199838631431387
"111",0.020395954287724
"112",0.0207903633760508
"113",0.0211653923011915
"114",0.0215193932573923
"115",0.0218507835825745
"116",0.0221580604149014
"117",0.0224398149365915
"118",0.022694745976892
"119",0.0229216727503292
"120",0.0231195465161411
"121",0.0232874609599491
"122",0.0234246611199492
"123",0.0235305507033561
"124",0.02360553896003
"125",0.0236501974650363
"126",0.0236644070559908
"127",0.0236482052603834
"128",0.0236017837065503
"129",0.0235254848033496
"130",0.0234197971429687
"131",0.0232853495228051
"132",0.0231229036416647
"133",0.0229333455892666
"134",0.0227176762784168
"135",0.0224770009861602
"136",0.0222125181800732
"137",0.0219255078106081
"138",0.0216173192507952
"139",0.0212893590610392
"140",0.0209430787496281
"141",0.0205799626893276
"142",0.0202015163375729
"143",0.0198092548928108
"144",0.0194046925030412
"145",0.0189893321251018
"146",0.0185646561152453
"147",0.0181321176135558
"148",0.0176931327671711
"149",0.017249073820621
"150",0.0168012630852998
"151",0.0163509677869091
"152",0.015899395775894
"153",0.0154476920747818
"154",0.0149969362257012
"155",0.0145484060236996
"156",0.0141032835729938
"157",0.0136623947825913
"158",0.0132264952071581
"159",0.0127962727344596
"160",0.0123723495588691
"161",0.0119552841534894
"162",0.0115455733929722
"163",0.0111436548776454
"164",0.0107499094479003
"165",0.0103646638577818
"166",0.00998819357098086
"167",0.0096207256424273
"168",0.00926244165097194
"169",0.00891348065181649
"170",0.00857394212080656
"171",0.00824388886617917
"172",0.00792334988672946
"173",0.00761232315856489
"174",0.00731077833561495
"175",0.00701865935183861
"176",0.00673588691561121
"177",0.00646236088907366
"178",0.00619796254729147
"179",0.00594255671390516
"180",0.00569599377156657
"181",0.0054581115468582
"182",0.00522873706851531
"183",0.00500769914268898
"184",0.00479481840105107
"185",0.00458989624579399
"186",0.00439272915165626
"187",0.00420310996469322
"188",0.00402082901640141
"189",0.00384567511132476
"190",0.00367743641056092
"191",0.00351590122328954
"192",0.0033608587143455
"193",0.00321209953418597
"194",0.0030694163768615
"195",0.00293260447121571
"196",0.00280146201027702
"197",0.00267579052358411
"198",0.00255539519697223
"199",0.00244008514413059
"200",0.00232967363402107
"201",0.00222397827802473
"202",0.00212282118045936
"203",0.00202602905588862
"204",0.00193343331642466
"205",0.00184487013201228
"206",0.00176018046647469
"207",0.00167921009190113
"208",0.00160180958376394
"209",0.00152783429896913
"210",0.00145714433887009
"211",0.00138960449910836
"212",0.00132508420798932
"213",0.00126345745469046
"214",0.0012046127622051
"215",0.00114844174501139
"216",0.00109482911182906
"217",0.00104366383223515
"218",0.00099483913627847
"219",0.00094825243864059
"220",0.000903805233072543
"221",0.000861402974934229
"222",0.000820954959203245
"223",0.000782374197144526
"224",0.00074557729314532
"225",0.000710484322520465
"226",0.000677018710786816
"227",0.000645107114757904
"228",0.000614679305727436
"229",0.000585668054955971
"230",0.000558009021634135
"231",0.000531640643462172
"232",0.000506504029956749
"233",0.000482542858570645
"234",0.000459703273688644
"235",0.000437933788543246
"236",0.000417185190076353
"237",0.000397410446757796
"238",0.000378564619358089
"239",0.000360604774661061
"240",0.000343489902091814
"241",0.000327180833226649
"242",0.000311640164144009
"243",0.000296832180572511
"244",0.000282723772007239
"245",0.000269283280431452
"246",0.000256479390206724
"247",0.000244282209134912
"248",0.000232663217070383
"249",0.000221595209486037
"250",0.000211052240589816
"251",0.000201009567691687
"252",0.00019144359744582
"253",0.000182331834167897
"254",0.000173652830260027
"255",0.000165386138710211
"256",0.000157512267608107
"257",0.00015001263660978
"258",0.000142869535281427
"259",0.000136066083252023
"260",0.00012958619210585
"261",0.000123414528947354
"262",0.000117536481572483
"263",0.000111938125182462
"264",0.000106606190577826
"265",0.000101528033772423
"266",9.66916069689968e-05
"267",9.20854308398785e-05
"268",8.76985680581841e-05
"269",8.35205980268233e-05
"270",7.954159275446e-05
"271",7.57520938294032e-05
"272",7.21430904442052e-05
"273",6.87059984255019e-05
"274",6.54326402284542e-05
"275",6.23153259105157e-05
"276",5.9346731664513e-05
"277",5.65197627412273e-05
"278",5.38276604411554e-05
"279",5.12639874148624e-05
"280",4.88226129040004e-05
"281",4.6497698383921e-05
"282",4.42836837649668e-05
"283",4.21752741962555e-05
"284",4.01674274717875e-05
"285",3.82553420220682e-05
"286",3.64344454685967e-05
"287",3.47003837169609e-05
"288",3.30490105643191e-05
"289",3.14763777977119e-05
"290",2.9978725760531e-05
"291",2.85524743654212e-05
"292",2.7194214532838e-05
"293",2.59007000354056e-05
"294",2.46688397291149e-05
"295",2.3495690153255e-05
"296",2.2378448481795e-05
"297",2.13144458097208e-05
"298",2.03011407585832e-05
"299",1.9336113386238e-05
"300",1.84170593864466e-05
"301",1.75417845646679e-05
"302",1.67081995770013e-05
"303",1.59143149198468e-05
"304",1.5158236159965e-05
"305",1.4438159384345e-05
"306",1.37523668823666e-05
"307",1.30992230189286e-05
"308",1.24771703119972e-05
"309",1.18847256959889e-05
"310",1.13204769636037e-05
"311",1.07830793776254e-05
"312",1.02712524446065e-05
"313",9.78377684273164e-06
"314",9.31949149651981e-06
"315",8.87729079136889e-06
"316",8.45612192127852e-06
"317",8.05498236340068e-06
"318",7.6729174733688e-06
"319",7.3090181956422e-06
"320",6.96241888337593e-06
"321",6.63229522258639e-06
"322",6.31786225563149e-06
"323",6.01837249926041e-06
"324",5.73311415271391e-06
"325",5.46140939157085e-06
"326",5.20261274324132e-06
"327",4.95610954020231e-06
"328",4.72131444725749e-06
"329",4.49767005928009e-06
"330",4.28464556606671e-06
"331",4.08173548109068e-06
"332",3.88845843109685e-06
"333",3.7043560036259e-06
"334",3.52899164969497e-06
"335",3.36194963899418e-06
"336",3.20279971637729e-06
"337",3.05113523905777e-06
"338",2.90660557426299e-06
"339",2.76887698639127e-06
"340",2.63763147059693e-06
"341",2.51256587749052e-06
"342",2.39339116918849e-06
"343",2.27983174547843e-06
"344",2.17162481506734e-06
"345",2.06851980122948e-06
"346",1.97027777687861e-06
